zip,Y,X,STATE_ZIP,REGION_ZIP,
1254,42.401705,-73.348236,MA,Northeast,
1255,42.115324,-73.120359,MA,Northeast,
1256,42.576296,-73.030921,MA,Northeast,
1257,42.077092,-73.395288,MA,Northeast,
1258,42.120675,-73.474239,MA,Northeast,
1259,42.068111,-73.287921,MA,Northeast,
1260,42.281234,-73.278924,MA,Northeast,
1262,42.303969,-73.315856,MA,Northeast,
1263,42.28901,-73.319529,MA,Northeast,
1264,42.243506,-73.205466,MA,Northeast,
1266,42.333061,-73.380396,MA,Northeast,
1267,42.699457,-73.210225,MA,Northeast,
1270,42.336404,-73.254387,MA,Northeast,
1301,42.602912,-72.598574,MA,Northeast,
1302,42.65202,-72.609653,MA,Northeast,
1330,42.522471,-72.785664,MA,Northeast,
1331,42.58886,-72.224089,MA,Northeast,
1337,42.665429,-72.537321,MA,Northeast,
1338,42.598874,-72.740885,MA,Northeast,
1339,42.633875,-72.875556,MA,Northeast,
1340,42.711706,-72.719125,MA,Northeast,
1341,42.511022,-72.688092,MA,Northeast,
1342,42.553684,-72.589272,MA,Northeast,
1343,42.6438,-72.987878,MA,Northeast,
1344,42.605957,-72.410738,MA,Northeast,
1346,42.682152,-72.838218,MA,Northeast,
1347,42.557611,-72.518664,MA,Northeast,
1349,42.57872,-72.49214,MA,Northeast,
1350,42.717039,-72.947256,MA,Northeast,
1351,42.536668,-72.530141,MA,Northeast,
1354,42.675878,-72.448536,MA,Northeast,
1355,42.485715,-72.341275,MA,Northeast,
1360,42.700499,-72.450887,MA,Northeast,
1364,42.600025,-72.305556,MA,Northeast,
1366,42.472326,-72.204057,MA,Northeast,
1367,42.689349,-72.935421,MA,Northeast,
1368,42.684928,-72.196002,MA,Northeast,
1370,42.59593,-72.733374,MA,Northeast,
1373,42.476354,-72.610707,MA,Northeast,
1375,42.461326,-72.563693,MA,Northeast,
1376,42.60474,-72.546507,MA,Northeast,
1378,42.677282,-72.343139,MA,Northeast,
1379,42.561643,-72.385557,MA,Northeast,
1380,42.569537,-72.406436,MA,Northeast,
1420,42.576269,-71.802089,MA,Northeast,
1430,42.6536,-71.924255,MA,Northeast,
1431,42.677809,-71.811241,MA,Northeast,
1432,42.559756,-71.57532,MA,Northeast,
1436,42.604578,-72.070738,MA,Northeast,
1438,42.563733,-72.040368,MA,Northeast,
1440,42.574542,-71.995414,MA,Northeast,
1441,42.573616,-71.994641,MA,Northeast,
1450,42.608416,-71.556651,MA,Northeast,
1451,42.503056,-71.575944,MA,Northeast,
1452,42.487928,-72.007111,MA,Northeast,
1453,42.525279,-71.753473,MA,Northeast,
1460,42.543481,-71.484168,MA,Northeast,
1462,42.588874,-71.731381,MA,Northeast,
1463,42.67343,-71.591435,MA,Northeast,
1464,42.559484,-71.646441,MA,Northeast,
1467,42.483655,-71.621609,MA,Northeast,
1468,42.54986,-72.065785,MA,Northeast,
1469,42.653698,-71.691559,MA,Northeast,
1470,42.608252,-71.57189,MA,Northeast,
1471,42.607854,-71.572329,MA,Northeast,
1472,42.606629,-71.62914,MA,Northeast,
1473,42.540906,-71.906138,MA,Northeast,
1474,42.66985,-71.745495,MA,Northeast,
1475,42.677984,-72.045113,MA,Northeast,
1477,42.695867,-72.017823,MA,Northeast,
1501,42.205001,-71.840473,MA,Northeast,
1503,42.374084,-71.632431,MA,Northeast,
1504,42.026266,-71.528483,MA,Northeast,
1505,42.331643,-71.734141,MA,Northeast,
1506,42.203252,-72.10005,MA,Northeast,
1507,42.148385,-71.941347,MA,Northeast,
1508,42.151392,-71.989604,MA,Northeast,
1509,42.172996,-71.97562,MA,Northeast,
1510,42.419337,-71.685094,MA,Northeast,
1515,42.222612,-72.053004,MA,Northeast,
1516,42.092571,-71.716652,MA,Northeast,
1517,42.470175,-71.840195,MA,Northeast,
1518,42.120891,-72.110243,MA,Northeast,
1519,42.201023,-71.687981,MA,Northeast,
1520,42.345803,-71.846302,MA,Northeast,
1521,42.042514,-72.149839,MA,Northeast,
